method,job,task,machine,start,end,duration,due_date,priority
CP-SAT baseline,7,3,0,25,31,6,52,1
CP-SAT baseline,2,4,0,31,42,11,59,3
CP-SAT baseline,6,2,0,42,47,5,44,1
CP-SAT baseline,4,4,0,47,50,3,35,3
CP-SAT baseline,1,4,0,50,55,5,61,2
CP-SAT baseline,5,3,0,55,59,4,50,5
CP-SAT baseline,3,4,0,59,66,7,54,2
CP-SAT baseline,0,4,0,66,68,2,58,5
CP-SAT baseline,7,0,1,0,8,8,52,1
CP-SAT baseline,2,1,1,8,10,2,59,3
CP-SAT baseline,6,0,1,10,16,6,44,1
CP-SAT baseline,1,0,1,16,26,10,61,2
CP-SAT baseline,3,0,1,26,34,8,54,2
CP-SAT baseline,4,2,1,34,38,4,35,3
CP-SAT baseline,0,2,1,38,49,11,58,5
CP-SAT baseline,5,2,1,49,54,5,50,5
CP-SAT baseline,4,0,2,0,3,3,35,3
CP-SAT baseline,0,1,2,6,13,7,58,5
CP-SAT baseline,5,0,2,13,23,10,50,5
CP-SAT baseline,2,3,2,23,30,7,59,3
CP-SAT baseline,7,4,2,31,37,6,52,1
CP-SAT baseline,1,2,2,37,39,2,61,2
CP-SAT baseline,3,3,2,47,57,10,54,2
CP-SAT baseline,6,4,2,57,63,6,44,1
CP-SAT baseline,0,0,3,0,6,6,58,5
CP-SAT baseline,7,1,3,8,13,5,52,1
CP-SAT baseline,2,2,3,13,22,9,59,3
CP-SAT baseline,5,1,3,23,27,4,50,5
CP-SAT baseline,1,1,3,27,36,9,61,2
CP-SAT baseline,4,3,3,38,41,3,35,3
CP-SAT baseline,3,2,3,41,47,6,54,2
CP-SAT baseline,6,3,3,47,50,3,44,1
CP-SAT baseline,2,0,4,0,7,7,59,3
CP-SAT baseline,4,1,4,7,15,8,35,3
CP-SAT baseline,7,2,4,15,25,10,52,1
CP-SAT baseline,6,1,4,25,33,8,44,1
CP-SAT baseline,3,1,4,34,39,5,54,2
CP-SAT baseline,1,3,4,39,48,9,61,2
CP-SAT baseline,0,3,4,49,59,10,58,5
CP-SAT baseline,5,4,4,59,69,10,50,5
