method,job,task,machine,start,end,duration,due_date,priority
Hybrid CP-SAT + R&D,5,3,0,23,27,4,50,5
Hybrid CP-SAT + R&D,7,3,0,27,33,6,52,1
Hybrid CP-SAT + R&D,2,4,0,33,44,11,59,3
Hybrid CP-SAT + R&D,3,4,0,46,53,7,54,2
Hybrid CP-SAT + R&D,6,2,0,53,58,5,44,1
Hybrid CP-SAT + R&D,1,4,0,58,63,5,61,2
Hybrid CP-SAT + R&D,4,4,0,63,66,3,35,3
Hybrid CP-SAT + R&D,0,4,0,67,69,2,58,5
Hybrid CP-SAT + R&D,7,0,1,0,8,8,52,1
Hybrid CP-SAT + R&D,2,1,1,8,10,2,59,3
Hybrid CP-SAT + R&D,3,0,1,10,18,8,54,2
Hybrid CP-SAT + R&D,5,2,1,18,23,5,50,5
Hybrid CP-SAT + R&D,1,0,1,23,33,10,61,2
Hybrid CP-SAT + R&D,6,0,1,33,39,6,44,1
Hybrid CP-SAT + R&D,0,2,1,39,50,11,58,5
Hybrid CP-SAT + R&D,4,2,1,50,54,4,35,3
Hybrid CP-SAT + R&D,4,0,2,0,3,3,35,3
Hybrid CP-SAT + R&D,5,0,2,3,13,10,50,5
Hybrid CP-SAT + R&D,0,1,2,13,20,7,58,5
Hybrid CP-SAT + R&D,2,3,2,26,33,7,59,3
Hybrid CP-SAT + R&D,3,3,2,36,46,10,54,2
Hybrid CP-SAT + R&D,1,2,2,46,48,2,61,2
Hybrid CP-SAT + R&D,7,4,2,48,54,6,52,1
Hybrid CP-SAT + R&D,6,4,2,61,67,6,44,1
Hybrid CP-SAT + R&D,0,0,3,0,6,6,58,5
Hybrid CP-SAT + R&D,7,1,3,8,13,5,52,1
Hybrid CP-SAT + R&D,5,1,3,13,17,4,50,5
Hybrid CP-SAT + R&D,2,2,3,17,26,9,59,3
Hybrid CP-SAT + R&D,3,2,3,30,36,6,54,2
Hybrid CP-SAT + R&D,1,1,3,36,45,9,61,2
Hybrid CP-SAT + R&D,4,3,3,54,57,3,35,3
Hybrid CP-SAT + R&D,6,3,3,58,61,3,44,1
Hybrid CP-SAT + R&D,2,0,4,0,7,7,59,3
Hybrid CP-SAT + R&D,4,1,4,7,15,8,35,3
Hybrid CP-SAT + R&D,7,2,4,15,25,10,52,1
Hybrid CP-SAT + R&D,3,1,4,25,30,5,54,2
Hybrid CP-SAT + R&D,5,4,4,30,40,10,50,5
Hybrid CP-SAT + R&D,6,1,4,40,48,8,44,1
Hybrid CP-SAT + R&D,1,3,4,48,57,9,61,2
Hybrid CP-SAT + R&D,0,3,4,57,67,10,58,5
