method,job,task,machine,start,end,duration,due_date,priority
R&D multicriteria,6,2,0,28,33,5,44,1
R&D multicriteria,5,3,0,33,37,4,50,5
R&D multicriteria,4,4,0,37,40,3,35,3
R&D multicriteria,7,3,0,40,46,6,52,1
R&D multicriteria,3,4,0,46,53,7,54,2
R&D multicriteria,2,4,0,53,64,11,59,3
R&D multicriteria,0,4,0,64,66,2,58,5
R&D multicriteria,1,4,0,73,78,5,61,2
R&D multicriteria,6,0,1,0,6,6,44,1
R&D multicriteria,3,0,1,6,14,8,54,2
R&D multicriteria,7,0,1,14,22,8,52,1
R&D multicriteria,2,1,1,22,24,2,59,3
R&D multicriteria,4,2,1,24,28,4,35,3
R&D multicriteria,5,2,1,28,33,5,50,5
R&D multicriteria,1,0,1,33,43,10,61,2
R&D multicriteria,0,2,1,43,54,11,58,5
R&D multicriteria,4,0,2,0,3,3,35,3
R&D multicriteria,5,0,2,3,13,10,50,5
R&D multicriteria,0,1,2,13,20,7,58,5
R&D multicriteria,3,3,2,33,43,10,54,2
R&D multicriteria,2,3,2,45,52,7,59,3
R&D multicriteria,1,2,2,57,59,2,61,2
R&D multicriteria,6,4,2,59,65,6,44,1
R&D multicriteria,7,4,2,65,71,6,52,1
R&D multicriteria,0,0,3,0,6,6,58,5
R&D multicriteria,5,1,3,13,17,4,50,5
R&D multicriteria,7,1,3,22,27,5,52,1
R&D multicriteria,3,2,3,27,33,6,54,2
R&D multicriteria,4,3,3,33,36,3,35,3
R&D multicriteria,2,2,3,36,45,9,59,3
R&D multicriteria,6,3,3,45,48,3,44,1
R&D multicriteria,1,1,3,48,57,9,61,2
R&D multicriteria,2,0,4,0,7,7,59,3
R&D multicriteria,4,1,4,7,15,8,35,3
R&D multicriteria,3,1,4,15,20,5,54,2
R&D multicriteria,6,1,4,20,28,8,44,1
R&D multicriteria,7,2,4,28,38,10,52,1
R&D multicriteria,5,4,4,38,48,10,50,5
R&D multicriteria,0,3,4,54,64,10,58,5
R&D multicriteria,1,3,4,64,73,9,61,2
